iter	Passed	Remaining
358	749016	920101
359	751082	917989
360	753150	915881
361	755226	913782
362	757314	911698
363	759357	909559
364	761487	907526
365	763566	905431
366	765638	903328
367	767699	901212
368	769743	899077
369	771817	896976
370	774018	895024
371	776158	892999
372	778255	890924
373	780291	888781
374	782345	886658
375	784429	884568
376	786476	882439
377	788441	880218
378	790547	878154
379	792637	876073
380	794749	874016
381	796780	871869
382	798910	869832
383	800947	867693
384	803062	865639
385	805125	863528
386	807211	861442
387	809299	859359
388	811391	857279
389	813417	855130
390	815497	853039
391	817600	850971
392	819661	848860
393	821791	846820
394	823942	844802
395	826037	842724
396	828074	840589
397	830088	838431
398	832228	836400
399	834322	834322
400	836387	832215
401	838520	830176
402	840599	828084
403	842684	825997
404	844736	823878
405	846776	821748
406	848795	819598
407	850867	817499
408	852981	815442
409	855112	813399
410	857224	811338
411	859305	809249
412	861461	807229
413	863591	805184
414	865673	803094
415	867695	800949
416	869811	798891
417	871894	796803
418	873922	794664
419	876015	792585
420	878059	790462
421	880167	788396
422	882279	786334
423	884328	784215
424	886369	782090
425	888424	779978
426	890482	777868
427	892540	775759
428	895859	774740
429	898047	772738
430	900149	770661
431	902282	768610
432	904447	766587
433	906541	764502
434	908594	762384
435	910717	760323
436	912727	758169
437	914846	756105
438	917006	754075
439	919157	752038
440	921334	750020
441	923520	748009
442	925693	745988
443	927867	743965
444	929987	741899
445	932100	739828
446	934214	737757
447	936328	735686
448	938413	733592
449	940490	731492
450	942653	729459
451	944705	727339
452	946806	725257
453	948930	723193
454	951042	721120
455	953247	719116
456	955450	717110
457	957611	715072
458	959726	712999
459	961822	710912
460	963970	708863
461	966057	706769
462	968158	704685
463	970254	702598
464	972318	700487
465	974401	698390
466	976535	696330
467	978624	694238
468	980708	692141
469	982863	690095
470	984957	688006
471	987020	685895
472	989169	683844
473	991233	681734
474	993335	679650
475	995491	677603
476	997654	675560
477	999733	673460
478	1001855	671389
479	1003954	669302
480	1006093	667242
481	1008291	665221
482	1010501	663206
483	1012639	661144
484	1014767	659076
485	1016884	656999
486	1018989	654915
487	1021022	652784
488	1023158	650720
489	1025200	648596
490	1027339	646533
491	1029424	644436
492	1031447	642300
493	1033540	640209
494	1035587	638089
495	1037656	635983
496	1039782	633911
497	1041780	631762
498	1043822	629640
499	1045905	627543
500	1047982	625442
501	1050092	623361
502	1052170	621261
503	1054284	619183
504	1056411	617111
505	1058545	615044
506	1060634	612950
507	1062691	610838
508	1064726	608713
509	1066767	606593
510	1068828	604484
511	1070973	602422
512	1073143	600374
513	1075305	598321
514	1077437	596252
515	1079529	594159
516	1081684	592101
517	1083755	589997
518	1085851	587908
519	1087900	585792
520	1089973	583690
521	1092068	581599
522	1094178	579517
523	1096254	577416
524	1098399	575351
525	1100484	573256
526	1102654	571204
527	1104714	569095
528	1106783	566991
529	1108864	564893
530	1110895	562769
531	1113025	560697
532	1115080	558586
533	1117138	556477
534	1119163	554351
535	1121239	552252
536	1123259	550125
537	1125389	548052
538	1127502	545970
